date,category,w1,w2,w3,w4
2023-07-13,FICTIONAL SPIES,BOND,HUNT,RYAN,SMART
2023-07-13,RUBBER ___,BAND,CEMENT,DUCKIE,SOUL
2023-07-12,VEGETABLES THAT ARE ALSO FRUITS,CUCUMBER,EGGPLANT,PEPPER,TOMATO
2023-07-12,3-D SHAPES,CONE,CUBE,PYRAMID,SPHERE
2023-07-12,"""WORDS WITH """"i""""""",MAC,PAD,PHONE,POD
2023-07-12,WORDS WITH TWO PRONUNCIATIONS,JOB,LIMA,MOBILE,POLISH
2023-07-11,NFL PLAYERS,BRONCO,COWBOY,PACKER,RAVEN
2023-07-11,PASTA SHAPES,BOWTIE,ELBOW,SHELL,SPIRAL
2023-07-11,JOINTS,HIP,KNEE,SHOULDER,WRIST
2023-07-11,"""MOVIES WITH """"!""""""",AIRPLANE,MOTHER,OKLAHOMA,THEM
2023-07-10,WINGED INSECTS,FLY,GNAT,MOTH,WASP
2023-07-10,ARITHMETIC OPERATIONS,ADD,DIVIDE,MULTIPLY,SUBTRACT
2023-07-10,FISH,TANG,TETRA,SKATE,SOLE
2023-07-10,___ CAT,ALLEY,COOL,COPY,LAP
2023-07-09,SEVEN DWARFS,BASHFUL,DOC,GRUMPY,HAPPY
2023-07-09,FILE EXTENSIONS,GIF,PDF,TIFF,ZIP
2023-07-09,FLIGHTLESS BIRDS,EMU,KIWI,OSTRICH,PENGUIN
2023-07-09,TROPICAL FRUITS,BANANA,COCONUT,MANGO,PINEAPPLE
2023-07-08,HATS,BERET,BOWLER,FEDORA,FEZ
2023-07-08,ORGANS,HEART,KIDNEY,LIVER,LUNG
2023-07-08,PARTS OF A BOOK,COVER,JACKET,PAGE,SPINE
2023-07-08,JACK ___,ASS,KNIFE,POT,RABBIT
2023-07-07,EUROPEAN COUNTRIES,DENMARK,GREECE,POLAND,PORTUGAL
2023-07-07,SYNONYMS FOR IMITATE,COPY,ECHO,MIMIC,PARROT
2023-07-07,TOMS,CRUISE,HOLLAND,PETTY,WAITS
2023-07-07,WORDS SPELLED WITH ROMAN NUMERALS,DILL,LIVID,MILD,MIX
2023-07-06,DESSERTS,CHEESECAKE,FLAN,MOUSSE,TIRAMISU
2023-07-06,MILD OATHS,DARN,FUDGE,HECK,SHOOT
2023-07-06,ANIMALS WITH TUSKS,ELEPHANT,HIPPO,NARWHAL,WARTHOG
2023-07-06,MUSTACHES,HANDLEBAR,HORSESHOE,PENCIL,WALRUS
2023-07-05,CANDY BARS,BOUNTY,CRUNCH,HEATH,MILKY WAY
2023-07-05,VIDEO GAME CONSOLES,DREAMCAST,GENESIS,SWITCH,WII
2023-07-05,EAR PARTS,ANVIL,COCHLEA,HAMMER,STIRRUP
2023-07-05,BAND NAMES MINUS NUMBERS,BLINK,MAROON,SUM,U
2023-07-04,60's BAND MEMBERS,BEACH BOY,BEATLE,BYRD,MONKEE
2023-07-04,DANCE FADS,DOUGIE,MACARENA,MASHED POTATO,TWIST
2023-07-04,MAGAZINES,FORTUNE,ROLLING STONE,VOGUE,WIRED
2023-07-04,THINGS WITH LINKS,CHAIN,GOLF COURSE,SAUSAGE,WEBSITE
2023-07-03,DOG BREEDS,BOXER,DALMATIAN,HUSKY,POODLE
2023-07-03,ANIMAL NOSES,BEAK,MUZZLE,SNOUT,TRUNK
2023-07-03,TRAFFIC SIGNS,DETOUR,SLOW,STOP,YIELD
2023-07-03,SOUND ___,ASLEEP,BARRIER,BITE,WAVE
2023-07-02,MUSIC GENRES,JAZZ,POP,PUNK,RAP
2023-07-02,WEB BROWSERS,CHROME,EDGE,OPERA,SAFARI
2023-07-02,LITTLE WOMEN SISTERS,AMY,BETH,JO,MEG
2023-07-02,LIL ___ RAPPERS,BABY,JON,KIM,WAYNE
2023-07-01,GRAINS,BARLEY,OAT,RYE,SPELT
2023-07-01,ROYAL TITLES,BARON,EARL,KING,PRINCE
2023-07-01,UNIVERSITIES,BROWN,DUKE,HOWARD,RICE
2023-07-01,BEST DIRECTOR OSCAR WINNERS,BONG,FORD,LEE,STONE
2023-06-30,OFF-WHITE SHADES,CREAM,EGGSHELL,IVORY,VANILLA
2023-06-30,ANTI-VAMPIRE,CRUCIFIX,GARLIC,MIRROR,STAKE
2023-06-30,KINDS OF MEAT,BEEF,PORK,POULTRY,VENISON
2023-06-30,SYNONYMS FOR ARGUMENT,ROW,QUARREL,SPAT,TIFF
2023-06-29,MUSCLES INFORMALLY,Lat,PEC,QUAD,TRI
2023-06-29,AWARDS,CUP,MEDAL,RIBBON,TROPHY
2023-06-29,TITLE TV DOCTORS,GREY,HOUSE,HOWSER,QUINN
2023-06-29,NFL PLAYERS,BEAR,BILL,BROWN,COMMANDER
2023-06-28,NECKWEAR,ASCOT,BOLO,SCARF,TIE
2023-06-28,SHIP DIRECTIONS,BOW,PORT,STARBOARD,STERN
2023-06-28,DETERGENTS,ALL,ERA,GAIN,TIDE
2023-06-28,___ TRIANGLE,ACUTE,BERMUDA,LOVE,RIGHT
2023-06-27,COFFEE DRINKS,AMERICANO,CAPPUCCINO,ESPRESSO,LATTE
2023-06-27,TREE NUTS,ALMOND,CASHEW,PECAN,WALNUT
2023-06-27,SHADES OF GREEN,EMERALD,FOREST,KELLY,OLIVE
2023-06-27,MR. ___,BEAN,CLEAN,FOX,PEANUT
2023-06-26,BIRD SOUNDS,CAW,CHIRP,CLUCK,TWEET
2023-06-26,COLORS,BROWN,PINK,TURQUOISE,VIOLET
2023-06-26,FISHING GEAR,LURE,REEL,ROD,TACKLE
2023-06-26,FICTIONAL PIRATES,HOOK,JONES,SILVER,SPARROW
2023-06-25,BEDS,BUNK,CANOPY,MURPHY,TRUNDLE
2023-06-25,FAMOUS BROTHERS,JONAS,MARX,WARNER,WRIGHT
2023-06-25,HONDAS,ACCORD,CIVIC,PASSPORT,PILOT
2023-06-25,VIDEO GAME CHARACTERS,CRASH,LINK,MARIO,SONIC
2023-06-24,AIRLINES,FRONTIER,SPIRIT,UNITED,VIRGIN
2023-06-24,GREEK LETTERS,BETA,CHI,DELTA,IOTA
2023-06-24,"""SILENT """"G""""""",GNAT,GNAW,GNOCCHI,GNOME
2023-06-24,HOMOPHONES,GNU,KNEW,NEW,NU
2023-06-23,ANIMAL GROUP NAMES,FLOCK,PACK,POD,SCHOOL
2023-06-23,DEADLY SINS,ENVY,GREED,LUST,PRIDE
2023-06-23,SLOW ANIMALS,LORIS,SLOTH,SNAIL,TORTOISE
2023-06-23,TRIG FUNCTIONS,COT,SEC,SIN,TAN
2023-06-22,"""SPICES BEGINNING WITH """"C""""""",CARDAMOM,CLOVE,CORIANDER,CUMIN
2023-06-22,TERMS OF ENDEARMENT,BOO,HONEY,SUGAR,SWEETIE
2023-06-22,THINGS WITH WINGS,AIRPLANE,ANGEL,BIRD,PEGASUS
2023-06-22,SPICE GIRLS,BABY,GINGER,POSH,SCARY
2023-06-21,FRUIT,DATE,KIWI,LEMON,ORANGE
2023-06-21,COUNTRIES,CHAD,GEORGIA,JORDAN,TOGO
2023-06-21,BIRDS,CRANE,JAY,SWALLOW,TURKEY
2023-06-21,ZODIAC SYMBOLS,FISH,GOAT,SCALES,TWINS
2023-06-20,SPORTS,CRICKET,FENCING,POLO,SQUASH
2023-06-20,TOPS,CAMI,HALTER,TANK,TEE
2023-06-20,VEGETABLES,BEET,CARROT,CORN,ONION
2023-06-20,INSECTS,ANT,BEETLE,MANTIS,TERMITE
2023-06-19,BOARD GAMES,BACKGAMMON,CHECKERS,CHESS,GO
2023-06-19,MATTRESS SIZES,FULL,KING,QUEEN,TWIN
2023-06-19,THINGS THAT ARE RED,CHERRY,FIRE TRUCK,RUBY,STOP SIGN
2023-06-19,THINGS WITH KEYS,CRYPTOGRAPHY,FLORIDA,LOCKSMITH,PIANO
2023-06-18,LEG PARTS,ANKLE,KNEE,SHIN,THIGH
2023-06-18,BABY ANIMALS,CALF,CUB,JOEY,KID
2023-06-18,SLANG FOR TOILET,CAN,HEAD,JOHN,THRONE
2023-06-18,___ FISH THAT AREN'T FISH,CRAY,JELLY,SILVER,STAR
2023-06-17,MONOPOLY SQUARES,BOARDWALK,CHANCE,GO,JAIL
2023-06-17,SHADES OF BLUE,BABY,MIDNIGHT,POWDER,ROYAL
2023-06-17,RAPPERS,COMMON,FUTURE,ICE CUBE,Q-TIP
2023-06-17,MEMBERS OF A SEPTET,SEA,SIN,SISTER,WONDER
2023-06-16,STREAMING SERVICES,HULU,NETFLIX,PEACOCK,PRIME
2023-06-16,CONDIMENTS,KETCHUP,MAYO,RELISH,TARTAR
2023-06-16,SYNONYMS FOR SAD,BLUE,DOWN,GLUM,LOW
2023-06-16,CLUE CHARACTERS,GREEN,MUSTARD,PLUM,SCARLET
2023-06-15,SNEAKER BRANDS,ADIDAS,NIKE,PUMA,REEBOK
2023-06-15,"""MUSICALS BEGINNING WITH """"C""""""",CABARET,CAROUSEL,CATS,CHICAGO
2023-06-15,CLEANING VERBS,DUST,MOP,SWEEP,VACUUM
2023-06-15,___ MAN SUPERHEROES,BAT,IRON,SPIDER,SUPER
2023-06-14,FACIAL FEATURES,CHEEK,EYE,MOUTH,NOSE
2023-06-14,SYNONYMS FOR EAT,CHOW,GOBBLE,SCARF,WOLF
2023-06-14,DOG BREEDS INFORMALLY,LAB,PEKE,PIT,POM
2023-06-14,MEMBERS OF A TRIO,AMIGO,KING,STOOGE,TENOR
2023-06-13,FOOTWEAR,BOOT,LOAFER,PUMP,SNEAKER
2023-06-13,UNITS OF LENGTH,FOOT,LEAGUE,MILE,YARD
2023-06-13,MAGAZINES,ESSENCE,PEOPLE,TIME,US
2023-06-13,LETTER HOMOPHONES,ARE,QUEUE,SEA,WHY
2023-06-12,WET WEATHER,HAIL,RAIN,SLEET,SNOW
2023-06-12,NBA TEAMS,BUCKS,HEAT,JAZZ,NETS
2023-06-12,KEYBOARD KEYS,OPTION,RETURN,SHIFT,TAB
2023-06-12,PALINDROMES,KAYAK,LEVEL,MOM,RACE CAR
